Tweet,Person
"""If you say you love Medicare, but your plan turns it into a voucher that ends the guaranteed benefit of Medicare—you've got #Romnesia.""",Obama
"President Obama: ""I look at what we need to get done to keep the American people safe and to move our interests forward."" #StrongerWithObama",Obama
"Obama on Romney's failure to mention veterans last night: ""They deserve better from somebody who wants to be commander in chief.""",Obama
"""Fourth, my plan will cut the deficit by $4 trillion over the next 10 years in a balanced way, by cutting spending that we don’t need.""",Obama
"FACT: Obama would use half the savings from ending the war in Afghanistan to pay down the debt, and invest the rest in rebuilding America.",Obama
"“Last night, he said he always supported taking out bin Laden. But in ’08, he said it wasn’t worth ‘moving heaven & earth’ to catch 1 man.”",Obama
FACT: Obama’s plan to reduce the deficit by more than $4 trillion asks the wealthy to pay a little more and cuts spending we don’t need.,Obama
"FACT: The President’s plan will help recruit 100,000 math and science teachers and train 2 million Americans at our community colleges.",Obama
"Obama: ""First, my plan builds on our manufacturing growth by ending the tax breaks for companies that ship jobs overseas."" #MadeInAmerica",Obama
"""He’s doing everything he can to hide his real positions and win this election by telling us everything he thinks is wrong with America.""",Obama
"Obama: ""We joke about #Romnesia. But this is about trust. And there’s no more serious issue in a presidential campaign than trust.""",Obama
"President Obama: “Even his own running mate said he’s 'kind of a throwback to the ‘50s'.""",Obama
RT if you agree: We can’t afford a president who opposes equal opportunity for women. We need one who fights for it: President Obama.,Obama
"“I don’t want my daughters, or your daughters, paid less than a man for doing the same job.”—President Obama",Obama
"""Gov. Romney said it’s fair that he pays a lower tax rate than a teacher who makes $50,000. He’s wrong.""—President Obama",Obama
"President Obama: “I promised to cut taxes for small business owners—and we have, 18 times.”",Obama
"President Obama: ""He’s conveniently forgetting what his own positions are ... We need a name for this condition—let’s call it #Romnesia.”",Obama
"“If you've come down with #Romnesia and can’t remember the promises you've made, don’t worry—Obamacare covers pre-existing conditions.”",Obama
"A hero of war, George McGovern became a champion for peace. Michelle and I share our thoughts and prayers with his family. -bo",Obama
FACT: Romney didn't ask for resumes of qualified women to appoint in Massachusetts—a coalition of women’s groups gave them to him.,Obama
"""We understand that America is not about what can be done for us. It’s about what can be done by us, together, as one nation & one people.""",Obama
"FACT: Romney would defund Planned Parenthood, which millions of women rely on for health services like birth control and cancer screenings.",Obama
"President Obama on Romney’s tax plan: “Instead of telling us how he’d pay for it, he said ‘I’ll let you know after the election.’”",Obama
FACT: The number of women serving in economic positions in Gov. Romney’s administration dropped from 46% to 31% during his term in office.,Obama
"President Obama: “In 18 days, you’re going to step into a voting booth. And you’re going to have a very big choice to make.”",Obama
FACT: Only 18 of the 65 judges Gov. Romney appointed in Massachusetts were women. #RomneysBinders,Obama
“I don’t think your boss should decide what’s best for your health and safety. I don’t think your insurer should decide what care you get.”,Obama
President Obama: “Unemployment has fallen from 10% to 7.8%. Home values are back on the rise. The stock market has nearly doubled.”,Obama
"FACT: By repealing Obamacare, Romney would allow insurance companies to continue charging women more than men for the same coverage.",Obama
"President Obama on women’s health: “The health care law that we passed put those choices in your hands, where they belong.” #ACA",Obama
"FACT: Over his final two years as governor of Massachusetts, Romney only filled 25% of new appointments with women. #RomneysBinders",Obama
"FACT: Romney tried to hide his extreme stance on birth control, but he has supported laws that would let employers deny coverage. #Romnesia",Obama
"“If you say you’re for equal pay for equal work but you refuse to say whether you’d sign a bill that protects it, you might have #Romnesia.”",Obama
"FACT: Romney claims he supports equal pay for equal work, but refuses to say whether he supports the Lilly Ledbetter Fair Pay Act. #Romnesia",Obama
NFL fans on both sides of the aisle hope the refs' lockout is settled soon. -bo,Obama
RT if you agree: We can’t afford a leader who writes off nearly half the country before he even takes office.,Obama
"President Obama in Virginia: “Today I believe that as a nation, we’re moving forward again.”",Obama
RT if you agree: Millionaires like Mitt Romney shouldn’t pay a lower tax rate than middle-class families.,Obama
RT if you agree: We can’t afford Romney’s plan to pay for new tax cuts for the wealthy by raising taxes on the middle class.,Obama
"FACT: Romney has said it’s “fair” for him to pay a lower tax rate than a worker making $50,000, despite making nearly $14 million last year.",Obama
“Help us keep tuition costs down for young people all across this country. They deserve opportunity just like I had opportunity.”,Obama
"POTUS on the GOP: “They think if we spend another $5 trillion on tax cuts that favor the wealthiest, the deficit will magically go away.”",Obama
"POTUS: “I wasn’t born into wealth or privilege, but I got a great education because I was born here in the United States of America.”",Obama
"FACT: Romney would have to raise taxes on middle-class families with kids by $2,000 to pay for $250,000 tax cuts for multimillionaires.",Obama
“My opponent thinks it’s fair that someone who makes $20 million a year like him pays a lower rate than a cop or a teacher who makes $50K.”,Obama
"“We believe America only works when we accept certain responsibilities for ourselves, and also for others.”—President Obama",Obama
FACT: Romney’s plan to give millionaires a massive tax cut would either raise taxes for the middle class or explode the deficit.,Obama
U.S. soldiers in combat zones whose pay isn’t subject to federal income tax. #WrittenOffByRomney,Obama
"""On election night [in 2008], I said to all of those Americans who didn’t vote for me—I may not have won your vote, but I hear your voices.""",Obama
"POTUS: ""No family should have to set aside an acceptance letter to a college like Bowling Green because they don’t have the money.""",Obama
"“We’ve got a new tower across the New York skyline, al Qaeda is on the path to defeat, and bin Laden is dead.”—President Obama",Obama
"President Obama: ""I want to reduce the deficit without sticking it to the middle class. I want to simplify the tax code so it’s fair.""",Obama
"""They can’t say how they’d pay for $5 trillion in tax cuts without raising taxes on the middle class.""—President Obama on Romney's plan",Obama
“We believe in something called opportunity. We believe in a country where hard work pays off & responsibility is rewarded.”—President Obama,Obama
"“If we rally around a new kind of economic patriotism, we will rebuild this economy together. We will rebuild the middle class together.”",Obama
"POTUS: “It’s time for a new economic patriotism, rooted in the belief that growing our economy begins with a strong & growing middle class.”",Obama
"A high school teacher making $54,000 who's got three kids and is her household's primary source of income. #WrittenOffByRomney",Obama
"Crooked Hillary's bad judgement forced her to announce that she would go to Charlotte on Saturday to grandstand. Dem pols said no way, dumb!",Trump
Do people notice Hillary is copying my airplane rallies - she puts the plane behind her like I have been doing from the beginning.,Trump
"Many on the team and staff of Bernie Sanders have been treated badly by the Hillary Clinton campaign - and they like Trump on trade, a lot!",Trump
"from Waukesha, Wisconsin - now, live! Enjoy!",Trump
I won every poll from last nights Presidential Debate - except for the little watched ,Trump
"Refugees from Syria over 10k plus more coming. Lots young males, poorly vetted.",Trump
My team of deplorables will be managing my Twitter account for this evenings debate. Tune in! #DebateNight #TrumpPence16,Trump
"Russia has more warheads than ever, N Korea is testing nukes, and Iran got a sweetheart deal to keep theirs. Thanks, ",Trump
of North Carolina today. He is doing a tremendous job under tough circumstances.,Trump
"I will be interviewed on the - tonight from Florida, now. Enjoy!",Trump
"This is the simple fact about : she is a typical politician - all talk, no action. #Debates2016 and Obama policies increased debt by $9trillion over the last 8 years",Trump
"In the last 24 hrs. we have raised over $13M from online donations and National Call Day, and we’re still going! Thank you America! #MAGA",Trump
channels John Kerry on trade: she was for bad trade deals before she was against them. #TPP #Debates2016,Trump
endorsement was a wonderful surprise. I greatly appreciate his support! We will have a tremendous victory on November 8th.,Trump
has been part of the rigged DC system for 30 years? Why would we take policy advice from her? #Debates2016,Trump
Nothing on emails. Nothing on the corrupt Clinton Foundation. And nothing on #Benghazi. #Debates2016 #debatenight,Trump
"Our very weak and ineffective leader, Paul Ryan, had a bad conference call where his members went wild at his disloyalty.",Trump
"Despite winning the second debate in a landslide (every poll), it is hard to do well when Paul Ryan and others give zero support!",Trump
This country cannot take four more years of Barack Obama! #Debate,Trump
"Why didn't the writer of the twelve year old article in People Magazine mention the ""incident"" in her story. Because it did not happen!",Trump
"In my administration, EVERY American will be treated equally, protected equally, and honored equally #Debate #BigLeagueTruth",Trump
"The media and establishment want me out of the race so badly - I WILL NEVER DROP OUT OF THE RACE, WILL NEVER LET MY SUPPORTERS DOWN! #MAGA",Trump
The phony story in the failing is a TOTAL FABRICATION. Written by same people as last discredited story on women. WATCH!,Trump
I’m not proud of my locker room talk. But this world has serious problems. We need serious leaders. #debate #BigLeagueTruth,Trump
"We must repeal Obamacare and replace it with a much more competitive, comprehensive, affordable system. #debate #MAGA",Trump
- Why did five of your staffers need FBI IMMUNITY?! #BigLeagueTruth #Debates,Trump
"is the single biggest beneficiary of Citizens United in history, by far. #debate #bigleaguetruth",Trump
": Trump speaking in exact same tone he did in Waterville Valley on 12/1. The night I first realized he was gonna be GOP nominee""",Trump
Town Hall questions were given to Crooked Hillary Clinton in advance of big debates against Bernie Sanders. Hillary & CNN FRAUD!,Trump
"got caught fixing their ""focus group"" in order to make Crooked Hillary look better. Really pathetic and totally dishonest!",Trump
for your kind remarks on the important issue of PTSD and the dishonest media. Great to be in Arizona yesterday!,Trump
: Bill “clarified” what he meant when calling Obamacare a “disaster.” Actually “disaster” is pretty clear. #Debate,Trump
claims she needs a “public and a private stance” in discussions with Wall Street banks. #Debate,Trump
"is president, she’ll be all talk and nothing will get done. #Debate #BigLeagueTruth",Trump
I will sign the first bill to repeal #Obamacare and give Americans many choices and much lower rates!,Trump
"The Democrats have a corrupt political machine pushing crooked Hillary Clinton. We have Paul Ryan, always fighting the Republican nominee!",Trump
The people of Cuba have struggled too long. Will reverse Obama's Executive Orders and concessions towards Cuba until freedoms are restored.,Trump
"Wow, interview released by Wikileakes shows ""quid pro quo"" in Crooked Hillary e-mail probe.Such a dishonest person - & Paul Ryan does zilch!",Trump
"Paul Ryan, a man who doesn't know how to win (including failed run four years ago), must start focusing on the budget, military, vets etc.",Trump
"New polls are good because the media has deceived the public by putting women front and center with made-up stories and lies, and got caught",Trump
Of course there is large scale voter fraud happening on and before election day. Why do Republican leaders deny what is going on? So naive!,Trump
"Why didn't the writer of the twelve year old article in People Magazine mention the ""incident"" in her story. Because it did not happen!",Trump
"Can't believe these totally phoney stories, 100% made up by women (many already proven false) and pushed big time by press, have impact!",Trump
"ALL SAFE IN ORANGE COUNTY, NORTH CAROLINA. With you all the way, will never forget. Now we have to win. Proud of you all! ",Trump
The phony story in the failing is a TOTAL FABRICATION. Written by same people as last discredited story on women. WATCH!,Trump
"Wow, new polls just came out from Great numbers, especially after total media hit job. Leading Ohio 48 - 44.",Trump
"My wife, Melania, will be interviewed tonight at 8:00pm by Anderson Cooper on . I have no doubt she will do very well. Enjoy!",Trump
"is the single biggest beneficiary of Citizens United in history, by far. #debate #bigleaguetruth",Trump
Town Hall questions were given to Crooked Hillary Clinton in advance of big debates against Bernie Sanders. Hillary & CNN FRAUD!,Trump
"got caught fixing their ""focus group"" in order to make Crooked Hillary look better. Really pathetic and totally dishonest!",Trump
"reporters don't even call us anymore, they just write whatever they want to write, making up sources along the way!",Trump
Animals representing Hillary Clinton and Dems in North Carolina just firebombed our office in Orange County because we are winning ,Trump
I will sign the first bill to repeal #Obamacare and give Americans many choices and much lower rates!,Trump
"Moderator: “Respectfully, you won’t answer the pay-to-play question.” #Debate #BigLeagueTruth",Trump
Bernie Sanders on HRC: Bad Judgement. John Podesta on HRC: Bad Instincts. #BigLeagueTruth #Debate,Trump
The 2nd Amendment is under siege. We need SCOTUS judges who will uphold the US Constitution. #Debate #BigLeagueTruth,Trump
One of my first acts as President will be to deport the drug lords and then secure the border. #Debate #MAGA,Trump
We are winning and the press is refusing to report it. Don't let them fool you- get out and vote! #DrainTheSwamp on November 8th!,Trump
"ALL SAFE IN ORANGE COUNTY, NORTH CAROLINA. With you all the way, will never forget. Now we have to win. Proud of you all! ",Trump
"Wow, new polls just came out from ",Trump
"Great numbers, especially after total media hit job. Leading Ohio 48 - 44.",Trump
has been doing this for THIRTY YEARS....where has she been? #BigLeagueTruth,Trump
"My wife, Melania, will be interviewed tonight at 8:00pm by Anderson Cooper on ",Trump
. I have no doubt she will do very well. Enjoy!,Trump
"Moderator: Hillary paid $225,000 by a Brazilian bank for a speech that called for “open borders.” That’s a quote! #Debate #BigLeagueTruth",Trump
USA has the greatest business people in the world but we let political hacks negotiate our deals. We need change! #BigLeagueTruth #Debate,Trump
"Drugs are pouring into this country. If we have no border, we have no country. That’s why ICE endorsed me. #Debate #BigLeagueTruth",Trump
"I will renegotiate NAFTA. If I can’t make a great deal, we’re going to tear it up. We’re going to get this economy running again. #Debate",Trump
"Hillary is too weak to lead on border security-no solutions, no ideas, no credibility.She supported NAFTA, worst deal in US history. #Debate",Trump
": 41% of American voters believe the election could be ""stolen"" from DonaldTrump due to widespread voter fraud. - Politico""",Trump
Animals representing Hillary Clinton and Dems in North Carolina just firebombed our office in Orange County because we are winning ,Trump
lists litany of ways she plans to restrict gun rights. 2A will not survive a Hillary presidency. #Debate #BigLeagueTruth,Trump
Trump's divisive rhetoric is unacceptable and must be rejected. We don’t need a wall and barbed wire; we need to fix our immigration system.,Sanders
"Today, the wealthiest 62 people on this planet own as much wealth as the bottom half of the world’s population — around 3.6 billion people.",Sanders
We must end our grotesque level of income and wealth inequality whereby 20 individuals own more wealth than the bottom half of America.,Sanders
"We must take on the greed and power of corporate America, and create a government and an economy that works for all, not just the 1 percent.",Sanders
The middle class in the United States has been in decline for 35 years while there has been a huge increase in income and wealth inequality.,Sanders
What the mainstream media has got to understand is that they are far removed from the reality of where many American people are.,Sanders
"Not only do we need to fix our broken immigration system, we also need to end the rigged economy that's destroying our middle class.",Sanders
"Today we are spending $80 billion a year locking up 2.2 million Americans, disproportionately African-American, Latino, and Native-American.",Sanders
"In my view, now is the time to recognize that there is another option to help the people of Puerto Rico, not just austerity. #NALEOConf16",Sanders
"We spend $80 billion a year locking up 2.2 million Americans, disproportionately African-American, Latino and Native-American. #NALEOConf16",Sanders
Trade is a good thing but it has to be fair. And the TPP is anything but fair. We must ensure the TPP doesn't come up for a vote. #StopTPP,Sanders
"We must resist all efforts to cut Social Security. Instead, we've gotta fight to expand benefits for our seniors and disabled veterans.",Sanders
"From Flint, Michigan to California we have communities unable to drink the polluted water that comes out of their faucets. In the year 2016.",Sanders
"Today, thousands of undocumented workers face horrific working conditions and they can't fight back because they have no legal rights.",Sanders
The Democratic Party needs a 50-state strategy. We may not win in every state tomorrow but we must provide resources to these states.,Sanders
"Trumps agenda of tax cuts for the rich, lower wages and divisive, bigoted rhetoric is contrary to everything we stand for.",Sanders
The TPP is a continuation of our disastrous trade policies that have devastated manufacturing cities all over this country. #StopTPP,Sanders
"We've made some great progress in the Democratic Party platform, but more needs to be done. We must defeat the disastrous TPP. #StopTPP",Sanders
"The Affordable Care Act, which I helped write, has done some good things. But even with those improvements, we have got to do more.",Sanders
We must not allow our children to be poisoned by toxic drinking water just so a handful of fossil fuel companies can make even more profits.,Sanders
The fact of the matter is that senior citizens are struggling to pay for their medication while Big Pharma is making billions in profits.,Sanders
The middle class should not be subsidizing the wealthiest family in America just because the Waltons are too cheap to pay a living wage!,Sanders
We're gonna tell the billionaire class that they are not gonna get more tax breaks while Americans struggle to buy bread for their families!,Sanders
How does it happen that the United States is the only major country on earth not to guarantee health care to all people as a right?,Sanders
"You are the reason that we are the best campaign to defeat Trump. It’s your energy, excitement, and grassroots activism making it possible.",Sanders
It makes no sense to continue to spend far more per capita than do the people of any other nation on health care and get far worse outcomes.,Sanders
"If anyone thinks that Bernie alone will be able to take on the powerful interests, you are mistaken. We are in this together! #NotMeUs",Sanders
"Private, for-profit detention centers are making record breaking profits every year locking people up and holding immigrants in detention.",Sanders
Too many farmworkers today aren’t getting the work breaks they need and in some instances they're having their wages stolen by employers.,Sanders
"Every day, the corporate-controlled media and the political establishment tell us: think small. Well, you know what? We're gonna think big.",Sanders
"The situation in Flint is a tragedy. All over this country our infrastructure is collapsing, including in the Central Valley here in CA.",Sanders
We have got to end corporate prisons and detention centers. It is a perverse incentive to make more money by locking up more Americans.,Sanders
"A $1 trillion investment in infrastructure could create 13 million decent paying jobs. We need to invest in infrastructure, not more war.",Sanders
"When children come from war-torn countries in Central America, our job is to give them freedom and security here in the United States.",Sanders
Everybody knows that we are living in a competitive global economy. So why are we punishing our people for getting a college education?,Sanders
The growing body of evidence tells us that fracking is a danger to our water supply – our most precious resource. #KeepItInTheGround,Sanders
We must rewrite the disastrous trade policies enabling corporate America to shut down plants in this country and move to low-wage countries.,Sanders
"It is extremely sad that the United States, one of the oldest democracies, has one of the lowest voter turnouts of any major country.",Sanders
We're showing the world that you can run a campaign without being dependent on powerful and wealthy special interests.,Sanders
It's immoral and unjust to leave tens of millions of Americans without health care. Any health care plan must address that issue.,Sanders
We need to make public colleges and universities tuition-free and pay for that by imposing a speculation tax on Wall Street.,Sanders
We need to expand collective bargaining rights and make it easier for workers across the country to form a union.,Sanders
"Workers are telling us that they cannot make it by on $7, $10 or $12 an hour. We must raise the minimum wage to a living wage of $15.",Sanders
The sad reality is that we have thousands of people who die every year in this country because they can't afford to get to a doctor on time.,Sanders
"In America today, living in poverty means you are less likely to have access to a doctor, a dentist or a mental health care provider.",Sanders
It is no mystery why Monsanto fights against our right to know about GMOs in food – business is booming for this huge chemical company.,Sanders
"At a time of massive wealth and income inequality, the wealthiest people in this country are gonna start paying their fair share of taxes.",Sanders
The American people are tired of a broken criminal justice system that enables us to have more people in jail than any country on earth.,Sanders
"At a time when we need the best-educated workforce in the world, we are going to make public colleges and universities tuition-free.",Sanders
We need to increase the wages of more than 53 million American workers by raising the minimum wage from a starvation wage to $15 an hour.,Sanders
to use his executive authority to protect families by extending Temporary Protective Status to those who fled Central America.,Sanders
Debemos acabar con sentencias mínimas obligatorias. Demasiadas vidas han sido destruidas a causa de crímenes no-violentos.,Sanders
Esta elección no se trata tan sólo de elegir al próximo presidente. Es algo mucho más importante — se trata de transformar a Estados Unidos.,Sanders
"Un multimillonario paga la misma cantidad al Seguro Social que alguien que ganó $118,500 al año. Llegó el momento de cambiar eso.",Sanders
The only explanation for Chicago Principal Troy LaRaviere's removal appears to be Rahm Emanuel’s unhealthy obsession with taking revenge.,Sanders
"In the last few decades there's been a massive redistribution of wealth in the U.S. Unfortunately, it has gone in the wrong direction.",Sanders
What this campaign is about is whether we can mobilize our people to take back our government from a handful of billionaires.,Sanders
We are the wealthiest country in the history of the world. We can create a nation where health care is a right for all Americans.,Sanders
The Democratic Party has gotta make it clear that they will fight for automatic voter registration for everyone over 18.,Sanders
"Right now a billionaire pays the same amount of money into Social Security as someone who makes $118,500 a year. Time for a change.",Sanders
The question you’ve gotta ask yourselves at the polls is: are you gonna stand with the sick and the poor or Big Pharma and Wall Street?,Sanders
We pay by far the highest price in the world for prescription drugs. That's just a fact. We are getting ripped off left and right.,Sanders
Today we have cities and states across America who have made their minimum wage $15 an hour. We must make that national.,Sanders
We are sending a clear message to the billionaire class: you can’t continue to get huge tax breaks while children in this country go hungry.,Sanders
"At a time when so few have so much, and so many have so little, we must reject the foundations of this economy as immoral and unsustainable.",Sanders
"Sec. Clinton and all candidates should not only commit to the idea of universal health care coverage, but show us a plan to get there.",Sanders
We need to provide a path to citizenship for the millions of undocumented immigrants in our country and we need to keep families together.,Sanders
Signing the Paris climate deal is an important step but not enough. We must take bold action to fight climate change and enact a carbon tax.,Sanders
We need a progressive income tax so we don’t have a situation where billionaires end up paying an effective tax rate lower than nurses.,Sanders
"Today, the CEOs of the largest corporations in America make over 300 times what typical workers earn. That is not only wrong, it is immoral.",Sanders
"The working class of this country deserves to earn decent wages, decent benefits, and not see their jobs go to low-wage countries.",Sanders
"Today we remember those we've lost to unsafe working conditions, and recommit to creating safe workplaces and empowering unions. #IWMD16",Sanders
Donald thinks belittling women makes him a bigger man. It just makes him a bully. #DebateNight,Clinton
"This was not actually a hard question. ""I strongly support Roe v. Wade."" —Hillary #DebateNight",Clinton
"It’s Filipino American History Month, so lets honor their many contributions—from serving in WWII to strengthening our labor movement. -H",Clinton
Trump talks tough on trade and Chinese steel hurting American workers—but he bought Chinese steel for two of his last three buildings.,Clinton
"Post-traumatic stress isn't something strong people can handle & weak people can't. Trump’s comments aren't just ignorant, they’re harmful.",Clinton
just reminded Mike Pence of the bigoted things Trump has said about millions of Americans—and Pence couldn't defend it. #VPDebate,Clinton
", I'm in awe. Thanks for putting into words what's in so many of our hearts. -H",Clinton
We have undocumented immigrants in America who are paying more federal income tax than a so-called billionaire. #DebateNight,Clinton
Trump doesn't know what he's talking about when it comes to women's health. He shouldn't be making the decisions. #DebateNight,Clinton
Implicit bias is real. It hurts Americans. Anyone who'd outright deny its existence is unfit for the White House. #VPDebate,Clinton
Mike Pence claiming that Trump supports our troops and veterans when he insults them and probably doesn't pay taxes is laughable. #VPDebate,Clinton
"""Nobody respects women more than me."" —Donald Trump earlier tonight ""Such a nasty woman."" —Donald Trump just now #DebateNight",Clinton
"""I will be a president for all of the people."" —Donald Trump* *Except women, people of color, LGBT people, Muslims... #Debate",Clinton
"If Donald is going to whine before the game is even over, he doesn’t have what it takes to do this job. #DebateNight",Clinton
It's pretty clear that Vladimir Putin would rather have a puppet in the White House than a president. #DebateNight,Clinton
Four hundred pieces of legislation have Hillary Clinton's name on them. How many has Donald Trump passed? #debate,Clinton
Ask yourself: Do you want the guy who lost a billion dollars in one year—running a casino!—to run the U.S. economy? #debate,Clinton
"""We support Roe v. Wade. We support the constitutional right of American women to...make their own decision about pregnancy."" —",Clinton
It's time to hold Trump accountable to the facts. Follow ,Clinton
during tonight's debate to help spread the word. #Debates,Clinton
The attack on the Orange County HQ ,Clinton
office is horrific and unacceptable. Very grateful that everyone is safe.,Clinton
Number of times Trump has tweeted at ,Clinton
": 65 Number of times Trump has tweeted in support of Mike Pence, his running mate: 21 #VPDebate",Clinton
Lucky to have a partner like ,Clinton
who stood up for our shared vision tonight—instead of trying to deny it. #VPDebate,Clinton
Do your part to hold Donald Trump to the truth. Follow ,Clinton
during tonight's debate for live fact-checking. #Debates,Clinton
"""I can't imagine how Governor Pence can defend the insult-driven, selfish, me-first style of Donald Trump."" —",Clinton
"""Hombres""? #DebateNight",Clinton
during tonight's debate so you can help hold Trump accountable to the facts. RT to spread the word. #DebateNight,Clinton
"""If a candidate regularly and flippantly makes cruel and insulting comments about women...that's who that candidate really is."" —",Clinton
The images from the train derailment in NJ are horrifying. My prayers are with those who lost loved ones and the dozens who were injured. -H,Clinton
"“We ran a campaign about issues, not insults.” —Hillary on her primary campaign with ",Clinton
: http://hillaryclinton.com/issues,Clinton
"""The president commands our nuclear arsenal. Trump can’t command his own rhetoric."" —",Clinton
http://hrc.io/2d95w1u,Clinton
. Thank you for your leadership and your support in this campaign.” —Hillary,Clinton
Tune in for a live conversation on making college affordable for all with Hillary and ,Clinton
? http://hrc.io/2dDKKYK,Clinton
We need to bring technical education back to our schools: http://hrc.io/2dnXPVG,Clinton
Trump's plan: Cut taxes for billionaires & millionaires like him. Raise taxes for millions of middle-class families. http://hrc.io/2dc064Q,Clinton
"Let’s make college tuition-free for any family whose income is $125,000 or less and debt-free for everyone. http://hrc.io/2do0j6y",Clinton
"Trump ""can run his campaign however he chooses...I’m going to keep talking about the stakes in this election.” http://hrc.io/2dom5qD",Clinton
We can’t do any of these things without your help. Our future is on the ballot. Let's prove that #LoveTrumpsHate:,Clinton
Be a voter in the 2020 election.,Clinton
". You're right—""su voz es su voto."" So grateful to have your support. #JuntosSePuede",Clinton
Con todo respeto hoy he hecho pública mi simpatía hacia la Sra.Hillary Clinton.Esto por defender a mis hermanos mexicanos y latinoamericanos,Clinton
We need to raise the minimum wage so nobody who works full-time is still in poverty: http://hrc.io/2dnYE0U,Clinton
As president Hillary will stand up for kids and families. She’s done it her whole life: http://hrc.io/2dnYEh9,Clinton
"""I want this election to be about something, not just against somebody.” —Hillary in Iowa: http://hrc.io/2cZ73o3",Clinton
A four-year college should not be the only path to a middle-class life: http://hrc.io/2dnXPVG,Clinton
No parent should pay more than 10% of their income on quality child care.,Clinton
"Obamacare covered 20 million additional Americans, protects over 100 million people with pre-existing conditions, and allows young people to stay on their parents' plans until age 26. We shouldn't tear all that down and start over — we should protect and build on it.",Biden
"America was founded on the promise of equality, liberty, and justice for all. We’ve never fully lived up to that promise — but we’ve never stopped trying. We can’t rest until we reach our highest ideals and justice truly rings out for all.",Biden
I have said from the day I announced that we’re in a battle for the soul of this nation. That is even more true today. We have a president who has been sending dog whistles of encouragement and support to white supremacists and hate groups. We have to beat Donald Trump.,Biden
Vladimir Putin doesn’t want me to be President. He doesn’t want me to be our nominee. If you’re wondering why — it’s because I’m the only person in this field who’s ever gone toe-to-toe with him.,Biden
My first effort as a county council member was doing away with redlining — and I didn’t stop there. I've fought against housing discrimination my entire career. #DemDebate,Biden
Lots of people on stage talked about health care tonight. I’m the only one who’s gotten anything done. #DemDebate,Biden
"I've lost a lot in my life, but I'll be damned if I'm going to stand by and lose my country too. We have to beat Donald Trump.",Biden
"is a leading voice about the challenges of the fourth industrial revolution. He brought fun and new ideas to the race. I'm grateful for it, and hope we hear more from him regarding how to ensure workers succeed in an era of increasing automation.",Biden
"continue the fight to unify our nation, and beat Donald Trump, in the Senate — Coloradans are lucky to have him in their corner.",Biden
"This election is about more than just beating Donald Trump. It’s about: - Replacing Betsy DeVos with an actual educator - Having an Attorney General who defends the Constitution, not the president - Ensuring our EPA Administrator believes climate change is an existential threat",Biden
I taught constitutional law for a long time and here's the deal: No amendment is absolute. There are limits. Common-sense reforms like background checks and a ban on assault weapons are not a violation of the Second Amendment. Period.,Biden
